indicator,date,city,region,cases
Recoveries,2020-07-03,Al ʻAqiq,Al Bahah,1
Recoveries,2020-07-03,Al QuwayʻIyyah,Ar Riyad,1
Recoveries,2020-07-03,An NuʻAyriyyah,Eastern Region,1
Recoveries,2020-07-03,Ad DirʻIyyah,Ar Riyad,3
Recoveries,2020-07-03,Wadi Ad Dawasir,Ar Riyad,22
Recoveries,2020-07-03,Umm Ad Dawm,Makkah Al Mukarramah,3
Recoveries,2020-07-03,Ras Tannurah,Eastern Region,3
Recoveries,2020-07-03,Al Jafr,Eastern Region,4
Recoveries,2020-07-04,Rafa'I' Al Jamsh,Ar Riyad,2
Recoveries,2020-07-04,Ar Ruwaydah,Ar Riyad,3
Recoveries,2020-07-04,Hawtat Sudayr,Ar Riyad,1
Recoveries,2020-07-04,Makkah Al Mukarramah,Makkah Al Mukarramah,231
Recoveries,2020-07-04,Khamis Mushayt,Aseer,98
Recoveries,2020-07-04,Al MajmaʻAh,Ar Riyad,2
Recoveries,2020-07-04,Jeddah,Makkah Al Mukarramah,281
Recoveries,2020-07-04,Ad͟H D͟Hahran,Eastern Region,18
Recoveries,2020-07-04,Al Artawiyyah,Ar Riyad,1
Recoveries,2020-07-04,Al Qunfudhah,Makkah Al Mukarramah,1
Recoveries,2020-07-04,Al Lith,Makkah Al Mukarramah,2
Recoveries,2020-07-04,Al Khafji,Eastern Region,2
Recoveries,2020-07-04,Wadi Al Fara,Al Madinah Al Munawwarah,1
Recoveries,2020-07-04,Rijal Al Ma,Aseer,2
Recoveries,2020-07-04,Qaryat Al 'Ulya,Eastern Region,11
Recoveries,2020-07-04,Al Sehen,Makkah Al Mukarramah,1
Recoveries,2020-07-05,At Tuwal,Jazan,1
Recoveries,2020-07-05,Rafa'I' Al Jamsh,Ar Riyad,3
Recoveries,2020-07-05,Al Harajah,Aseer,2
Recoveries,2020-07-05,An Nabhaniyyah,Al Qaseem,1
Recoveries,2020-07-05,Buraydah,Al Qaseem,14
